dci,000;00,111;01,000;10
0,100.0000,0.0000,0.0000
0.01,100.0000,0.0000,0.0000
0.02,99.7419948398968,0.258005160103202,0.0000
0.03,99.4179883597672,0.582011640232805,0.0000
0.04,98.9709073816644,1.02909261833565,0.0000
0.05,98.3977115880859,1.60228841191414,0.0000
0.06,97.7041735024609,2.29582649753911,0.0000
0.07,96.8959202665786,3.10407973342139,0.0000
0.08,95.9101186545811,4.01884867038838,0.071032675030514
0.09,94.8433387705271,5.04358094246915,0.113080287003773
0.1,93.6659692258407,6.16284075323609,0.171190020923225
0.11,92.3756485506521,7.37695066006931,0.247400789278631
0.12,90.981076096544,8.67211931681501,0.346804586641007
0.13,89.484244424603,10.0432387965369,0.472516778860141
0.14,87.8922100357559,11.4800530312161,0.627736933028002
0.15,86.20987939931,12.9753869984611,0.81473360222895
