STATE : 0
dci = 0.0000 E = 0.000    100.000 |0 0 0;0 0 0> + ... 
dci = 0.0100 E = 0.000    99.935 |0 0 0;0 0 0> + ... 
dci = 0.0200 E = 0.000    99.740 |0 0 0;0 0 0> +  0.086 |1 0 1;0 1 1> +  0.086 |1 0-1;0 1-1> +  0.086 |1 0 0;0 1 0> + ... 
dci = 0.0300 E = 0.000    99.416 |0 0 0;0 0 0> +  0.194 |1 0 0;0 1 0> +  0.194 |1 0-1;0 1-1> +  0.194 |1 0 1;0 1 1> + ... 
dci = 0.0400 E = 0.000    98.962 |0 0 0;0 0 0> +  0.343 |1 0 1;0 1 1> +  0.343 |1 0-1;0 1-1> +  0.343 |1 0 0;0 1 0> + ... 
dci = 0.0500 E = 0.000    98.380 |0 0 0;0 0 0> +  0.534 |1 0 1;0 1 1> +  0.534 |1 0-1;0 1-1> +  0.534 |1 0 0;0 1 0> + ... 
dci = 0.0600 E = 0.000    97.669 |0 0 0;0 0 0> +  0.765 |1 0 0;0 1 0> +  0.765 |1 0 1;0 1 1> +  0.765 |1 0-1;0 1-1> + ... 
dci = 0.0700 E = 0.000    96.831 |0 0 0;0 0 0> +  1.034 |1 0 0;0 1 0> +  1.034 |1 0-1;0 1-1> +  1.034 |1 0 1;0 1 1> + ... 
dci = 0.0800 E = 0.000    95.866 |0 0 0;0 0 0> +  1.339 |1 0 1;0 1 1> +  1.339 |1 0-1;0 1-1> +  1.339 |1 0 0;0 1 0> +  0.071 |0 0 0;1 0 0> + ... 
dci = 0.0900 E = 0.000    94.776 |0 0 0;0 0 0> +  1.680 |1 0 0;0 1 0> +  1.680 |1 0 1;0 1 1> +  1.680 |1 0-1;0 1-1> +  0.113 |0 0 0;1 0 0> + ... 
dci = 0.1000 E = 0.000    93.562 |0 0 0;0 0 0> +  2.052 |1 0-1;0 1-1> +  2.052 |1 0 1;0 1 1> +  2.052 |1 0 0;0 1 0> +  0.171 |0 0 0;1 0 0> + ... 
dci = 0.1100 E = 0.000    92.226 |0 0 0;0 0 0> +  2.455 |1 0 1;0 1 1> +  2.455 |1 0-1;0 1-1> +  2.455 |1 0 0;0 1 0> +  0.247 |0 0 0;1 0 0> + ... 
dci = 0.1200 E = 0.000    90.770 |0 0 0;0 0 0> +  2.884 |1 0 0;0 1 0> +  2.884 |1 0-1;0 1-1> +  2.884 |1 0 1;0 1 1> +  0.346 |0 0 0;1 0 0> + ... 
dci = 0.1300 E = 0.000    89.197 |0 0 0;0 0 0> +  3.337 |1 0 0;0 1 0> +  3.337 |1 0 1;0 1 1> +  3.337 |1 0-1;0 1-1> +  0.471 |0 0 0;1 0 0> +  0.055 |2 0-1;0 2-1> +  0.055 |2 0 2;0 2 2> +  0.055 |2 0 1;0 2 1> +  0.055 |2 0 0;0 2 0> +  0.055 |2 0-2;0 2-2> + ... 
dci = 0.1400 E = 0.000    87.509 |0 0 0;0 0 0> +  3.810 |1 0-1;0 1-1> +  3.810 |1 0 1;0 1 1> +  3.810 |1 0 0;0 1 0> +  0.625 |0 0 0;1 0 0> +  0.073 |2 0 2;0 2 2> +  0.073 |2 0 1;0 2 1> +  0.073 |2 0-2;0 2-2> +  0.073 |2 0 0;0 2 0> +  0.073 |2 0-1;0 2-1> + ... 
dci = 0.1500 E = 0.000    85.709 |0 0 0;0 0 0> +  4.300 |1 0 1;0 1 1> +  4.300 |1 0 0;0 1 0> +  4.300 |1 0-1;0 1-1> +  0.810 |0 0 0;1 0 0> +  0.095 |2 0-1;0 2-1> +  0.095 |2 0 0;0 2 0> +  0.095 |2 0-2;0 2-2> +  0.095 |2 0 1;0 2 1> +  0.095 |2 0 2;0 2 2> + ... 
STATE : 1
dci = 0.0000 E = 36.920    100.000 |1 0 0;0 0 0> + ... 
dci = 0.0100 E = 36.867    99.637 |1 0 0;0 0 0> +  0.335 |0 0 0;0 1 0> + ... 
dci = 0.0200 E = 36.708    98.573 |1 0 0;0 0 0> +  1.314 |0 0 0;0 1 0> + ... 
dci = 0.0300 E = 36.450    96.882 |1 0 0;0 0 0> +  2.860 |0 0 0;0 1 0> +  0.091 |2 0 0;0 1 0> +  0.068 |2 0 1;0 1 1> +  0.068 |2 0-1;0 1-1> + ... 
dci = 0.0400 E = 36.099    94.667 |1 0 0;0 0 0> +  4.861 |0 0 0;0 1 0> +  0.158 |2 0 0;0 1 0> +  0.118 |2 0-1;0 1-1> +  0.118 |2 0 1;0 1 1> + ... 
dci = 0.0500 E = 35.665    92.047 |1 0 0;0 0 0> +  7.192 |0 0 0;0 1 0> +  0.240 |2 0 0;0 1 0> +  0.180 |2 0-1;0 1-1> +  0.180 |2 0 1;0 1 1> + ... 
dci = 0.0600 E = 35.157    89.138 |1 0 0;0 0 0> +  9.729 |0 0 0;0 1 0> +  0.335 |2 0 0;0 1 0> +  0.251 |2 0 1;0 1 1> +  0.251 |2 0-1;0 1-1> +  0.068 |1 0 0;0 2 0> +  0.064 |1 0 0;1 0 0> +  0.051 |1 0 1;0 2 1> +  0.051 |1 0-1;0 2-1> + ... 
dci = 0.0700 E = 34.586    86.045 |1 0 0;0 0 0> + 12.362 |0 0 0;0 1 0> +  0.442 |2 0 0;0 1 0> +  0.331 |2 0 1;0 1 1> +  0.331 |2 0-1;0 1-1> +  0.117 |1 0 0;0 2 0> +  0.111 |1 0 0;1 0 0> +  0.088 |1 0-1;0 2-1> +  0.088 |1 0 1;0 2 1> + ... 
dci = 0.0800 E = 33.961    82.850 |1 0 0;0 0 0> + 15.002 |0 0 0;0 1 0> +  0.557 |2 0 0;0 1 0> +  0.418 |2 0 1;0 1 1> +  0.418 |2 0-1;0 1-1> +  0.185 |1 0 0;0 2 0> +  0.177 |1 0 0;1 0 0> +  0.139 |1 0-1;0 2-1> +  0.139 |1 0 1;0 2 1> + ... 
dci = 0.0900 E = 33.292    79.620 |1 0 0;0 0 0> + 17.579 |0 0 0;0 1 0> +  0.680 |2 0 0;0 1 0> +  0.510 |2 0-1;0 1-1> +  0.510 |2 0 1;0 1 1> +  0.273 |1 0 0;0 2 0> +  0.265 |1 0 0;1 0 0> +  0.205 |1 0 1;0 2 1> +  0.205 |1 0-1;0 2-1> + ... 
dci = 0.1000 E = 32.587    76.401 |1 0 0;0 0 0> + 20.044 |0 0 0;0 1 0> +  0.809 |2 0 0;0 1 0> +  0.606 |2 0-1;0 1-1> +  0.606 |2 0 1;0 1 1> +  0.382 |1 0 0;0 2 0> +  0.377 |1 0 0;1 0 0> +  0.286 |1 0 1;0 2 1> +  0.286 |1 0-1;0 2-1> + ... 
dci = 0.1100 E = 31.853    73.227 |1 0 0;0 0 0> + 22.360 |0 0 0;0 1 0> +  0.941 |2 0 0;0 1 0> +  0.706 |2 0 1;0 1 1> +  0.706 |2 0-1;0 1-1> +  0.514 |1 0 0;1 0 0> +  0.512 |1 0 0;0 2 0> +  0.384 |1 0-1;0 2-1> +  0.384 |1 0 1;0 2 1> +  0.055 |0 0 0;1 1 0> + ... 
dci = 0.1200 E = 31.097    70.117 |1 0 0;0 0 0> + 24.508 |0 0 0;0 1 0> +  1.077 |2 0 0;0 1 0> +  0.808 |2 0 1;0 1 1> +  0.808 |2 0-1;0 1-1> +  0.677 |1 0 0;1 0 0> +  0.663 |1 0 0;0 2 0> +  0.497 |1 0 1;0 2 1> +  0.497 |1 0-1;0 2-1> +  0.084 |0 0 0;1 1 0> + ... 
dci = 0.1300 E = 30.325    67.084 |1 0 0;0 0 0> + 26.473 |0 0 0;0 1 0> +  1.215 |2 0 0;0 1 0> +  0.911 |2 0 1;0 1 1> +  0.911 |2 0-1;0 1-1> +  0.867 |1 0 0;1 0 0> +  0.835 |1 0 0;0 2 0> +  0.627 |1 0-1;0 2-1> +  0.627 |1 0 1;0 2 1> +  0.125 |0 0 0;1 1 0> + ... 
dci = 0.1400 E = 29.540    64.136 |1 0 0;0 0 0> + 28.249 |0 0 0;0 1 0> +  1.353 |2 0 0;0 1 0> +  1.085 |1 0 0;1 0 0> +  1.027 |1 0 0;0 2 0> +  1.015 |2 0 1;0 1 1> +  1.015 |2 0-1;0 1-1> +  0.770 |1 0 1;0 2 1> +  0.770 |1 0-1;0 2-1> +  0.178 |0 0 0;1 1 0> + ... 
dci = 0.1500 E = 28.748    61.276 |1 0 0;0 0 0> + 29.834 |0 0 0;0 1 0> +  1.490 |2 0 0;0 1 0> +  1.330 |1 0 0;1 0 0> +  1.238 |1 0 0;0 2 0> +  1.118 |2 0-1;0 1-1> +  1.118 |2 0 1;0 1 1> +  0.928 |1 0-1;0 2-1> +  0.928 |1 0 1;0 2 1> +  0.246 |0 0 0;1 1 0> + ... 
STATE : 2
dci = 0.0000 E = 36.920    100.000 |1 0-1;0 0 0> + ... 
dci = 0.0100 E = 36.867    99.637 |1 0-1;0 0 0> +  0.335 |0 0 0;0 1 1> + ... 
dci = 0.0200 E = 36.708    98.573 |1 0-1;0 0 0> +  1.314 |0 0 0;0 1 1> +  0.061 |2 0-2;0 1-1> + ... 
dci = 0.0300 E = 36.450    96.882 |1 0-1;0 0 0> +  2.860 |0 0 0;0 1 1> +  0.136 |2 0-2;0 1-1> +  0.068 |2 0-1;0 1 0> + ... 
dci = 0.0400 E = 36.099    94.667 |1 0-1;0 0 0> +  4.861 |0 0 0;0 1 1> +  0.236 |2 0-2;0 1-1> +  0.118 |2 0-1;0 1 0> + ... 
dci = 0.0500 E = 35.665    92.047 |1 0-1;0 0 0> +  7.192 |0 0 0;0 1 1> +  0.360 |2 0-2;0 1-1> +  0.180 |2 0-1;0 1 0> +  0.060 |2 0 0;0 1 1> +  0.053 |1 0 1;0 2 2> + ... 
dci = 0.0600 E = 35.157    89.138 |1 0-1;0 0 0> +  9.729 |0 0 0;0 1 1> +  0.503 |2 0-2;0 1-1> +  0.251 |2 0-1;0 1 0> +  0.102 |1 0 1;0 2 2> +  0.084 |2 0 0;0 1 1> +  0.064 |1 0-1;1 0 0> +  0.051 |1 0 0;0 2 1> + ... 
dci = 0.0700 E = 34.586    86.045 |1 0-1;0 0 0> + 12.362 |0 0 0;0 1 1> +  0.663 |2 0-2;0 1-1> +  0.331 |2 0-1;0 1 0> +  0.176 |1 0 1;0 2 2> +  0.111 |1 0-1;1 0 0> +  0.110 |2 0 0;0 1 1> +  0.088 |1 0 0;0 2 1> + ... 
dci = 0.0800 E = 33.961    82.850 |1 0-1;0 0 0> + 15.002 |0 0 0;0 1 1> +  0.836 |2 0-2;0 1-1> +  0.418 |2 0-1;0 1 0> +  0.278 |1 0 1;0 2 2> +  0.177 |1 0-1;1 0 0> +  0.139 |2 0 0;0 1 1> +  0.139 |1 0 0;0 2 1> + ... 
dci = 0.0900 E = 33.292    79.620 |1 0-1;0 0 0> + 17.579 |0 0 0;0 1 1> +  1.020 |2 0-2;0 1-1> +  0.510 |2 0-1;0 1 0> +  0.409 |1 0 1;0 2 2> +  0.265 |1 0-1;1 0 0> +  0.205 |1 0 0;0 2 1> +  0.170 |2 0 0;0 1 1> +  0.068 |1 0-1;0 2 0> + ... 
dci = 0.1000 E = 32.587    76.401 |1 0-1;0 0 0> + 20.044 |0 0 0;0 1 1> +  1.213 |2 0-2;0 1-1> +  0.606 |2 0-1;0 1 0> +  0.572 |1 0 1;0 2 2> +  0.377 |1 0-1;1 0 0> +  0.286 |1 0 0;0 2 1> +  0.202 |2 0 0;0 1 1> +  0.095 |1 0-1;0 2 0> + ... 
dci = 0.1100 E = 31.853    73.227 |1 0-1;0 0 0> + 22.360 |0 0 0;0 1 1> +  1.412 |2 0-2;0 1-1> +  0.768 |1 0 1;0 2 2> +  0.706 |2 0-1;0 1 0> +  0.514 |1 0-1;1 0 0> +  0.384 |1 0 0;0 2 1> +  0.235 |2 0 0;0 1 1> +  0.128 |1 0-1;0 2 0> +  0.055 |0 0 0;1 1 1> + ... 
dci = 0.1200 E = 31.097    70.117 |1 0-1;0 0 0> + 24.508 |0 0 0;0 1 1> +  1.616 |2 0-2;0 1-1> +  0.995 |1 0 1;0 2 2> +  0.808 |2 0-1;0 1 0> +  0.677 |1 0-1;1 0 0> +  0.497 |1 0 0;0 2 1> +  0.269 |2 0 0;0 1 1> +  0.166 |1 0-1;0 2 0> +  0.084 |0 0 0;1 1 1> + ... 
dci = 0.1300 E = 30.325    67.084 |1 0-1;0 0 0> + 26.473 |0 0 0;0 1 1> +  1.822 |2 0-2;0 1-1> +  1.253 |1 0 1;0 2 2> +  0.911 |2 0-1;0 1 0> +  0.867 |1 0-1;1 0 0> +  0.627 |1 0 0;0 2 1> +  0.304 |2 0 0;0 1 1> +  0.209 |1 0-1;0 2 0> +  0.125 |0 0 0;1 1 1> +  0.051 |2-2-2;0 1-1> +  0.051 |2 2-2;0 1-1> + ... 
dci = 0.1400 E = 29.540    64.136 |1 0-1;0 0 0> + 28.249 |0 0 0;0 1 1> +  2.029 |2 0-2;0 1-1> +  1.541 |1 0 1;0 2 2> +  1.085 |1 0-1;1 0 0> +  1.015 |2 0-1;0 1 0> +  0.770 |1 0 0;0 2 1> +  0.338 |2 0 0;0 1 1> +  0.257 |1 0-1;0 2 0> +  0.178 |0 0 0;1 1 1> +  0.056 |2-2-2;0 1-1> +  0.056 |2 2-2;0 1-1> + ... 
dci = 0.1500 E = 28.748    61.276 |1 0-1;0 0 0> + 29.834 |0 0 0;0 1 1> +  2.236 |2 0-2;0 1-1> +  1.856 |1 0 1;0 2 2> +  1.330 |1 0-1;1 0 0> +  1.118 |2 0-1;0 1 0> +  0.928 |1 0 0;0 2 1> +  0.373 |2 0 0;0 1 1> +  0.309 |1 0-1;0 2 0> +  0.246 |0 0 0;1 1 1> +  0.060 |2 2-2;0 1-1> +  0.060 |2-2-2;0 1-1> + ... 
STATE : 3
dci = 0.0000 E = 36.920    100.000 |1 0 1;0 0 0> + ... 
dci = 0.0100 E = 36.867    99.637 |1 0 1;0 0 0> +  0.335 |0 0 0;0 1-1> + ... 
dci = 0.0200 E = 36.708    98.573 |1 0 1;0 0 0> +  1.314 |0 0 0;0 1-1> +  0.061 |2 0 2;0 1 1> + ... 
dci = 0.0300 E = 36.450    96.882 |1 0 1;0 0 0> +  2.860 |0 0 0;0 1-1> +  0.136 |2 0 2;0 1 1> +  0.068 |2 0 1;0 1 0> + ... 
dci = 0.0400 E = 36.099    94.667 |1 0 1;0 0 0> +  4.861 |0 0 0;0 1-1> +  0.236 |2 0 2;0 1 1> +  0.118 |2 0 1;0 1 0> + ... 
dci = 0.0500 E = 35.665    92.047 |1 0 1;0 0 0> +  7.192 |0 0 0;0 1-1> +  0.360 |2 0 2;0 1 1> +  0.180 |2 0 1;0 1 0> +  0.060 |2 0 0;0 1-1> +  0.053 |1 0-1;0 2-2> + ... 
dci = 0.0600 E = 35.157    89.138 |1 0 1;0 0 0> +  9.729 |0 0 0;0 1-1> +  0.503 |2 0 2;0 1 1> +  0.251 |2 0 1;0 1 0> +  0.102 |1 0-1;0 2-2> +  0.084 |2 0 0;0 1-1> +  0.064 |1 0 1;1 0 0> +  0.051 |1 0 0;0 2-1> + ... 
dci = 0.0700 E = 34.586    86.045 |1 0 1;0 0 0> + 12.362 |0 0 0;0 1-1> +  0.663 |2 0 2;0 1 1> +  0.331 |2 0 1;0 1 0> +  0.176 |1 0-1;0 2-2> +  0.111 |1 0 1;1 0 0> +  0.110 |2 0 0;0 1-1> +  0.088 |1 0 0;0 2-1> + ... 
